2005-02-17,2088.67,2093.68,2061.34,2061.34,1813927800
2005-02-18,2065.15,2068.89,2056.2,2058.62,1501168800
2005-02-22,2046.18,2064.67,2030.17,2030.32,1912284600
2005-02-23,2039.55,2040.84,2024.64,2031.25,1746958500
2005-02-24,2028.43,2051.81,2023,2051.7,1889648400
2005-02-25,2050.49,2065.4,2047.23,2065.4,1647216000
2005-02-28,2058.28,2066.53,2038.77,2051.72,1981030200
2005-03-01,2057.47,2073.74,2057.19,2071.25,1805297400
2005-03-02,2060.3,2084.15,2057.22,2067.5,1864157100
2005-03-03,2073.33,2074.71,2047.92,2058.4,1763168400
2005-03-04,2071.15,2078.14,2064.93,2070.61,1701146700
2005-03-07,2073.9,2100.57,2073.82,2090.21,1812746700
2005-03-08,2087.11,2095.74,2072.59,2073.55,1577931000
2005-03-09,2070.85,2079.37,2060.23,2061.29,1762833600
2005-03-10,2065.09,2067.21,2042.02,2059.72,1697984700
2005-03-11,2063.56,2069.4,2036.41,2041.6,1666643700
2005-03-14,2043.64,2051.04,2037.41,2051.04,1588179600
2005-03-15,2057.17,2059.07,2034.41,2034.98,1710074700
2005-03-16,2028.29,2037.96,2011.67,2015.75,1831811700
2005-03-17,2016.91,2023.67,2010.52,2016.42,1622961600
2005-03-18,2018.41,2020.4,1999.98,2007.79,1959491400
2005-03-21,2008.16,2011.39,1993.76,2007.51,1498230000
2005-03-22,2007.72,2017.66,1988.86,1989.34,1679533500
2005-03-23,1985.49,1999.43,1985.22,1990.22,1619269500
2005-03-24,1997.48,2008.63,1991.06,1991.06,1579074900
2005-03-28,1998.76,2005.49,1992.52,1992.52,1383486600
2005-03-29,1990.27,2002.65,1968.58,1973.88,1671991200
2005-03-30,1980.07,2005.67,1980.07,2005.67,1630857300
2005-03-31,2005.71,2006.62,1994.8,1999.23,1568882100
2005-04-01,2009.09,2014.73,1982.19,1984.81,1738811700
2005-04-04,1983.81,1995.8,1972.07,1991.07,1478058300
2005-04-05,1994.38,2002.35,1991.88,1999.32,1532184300
2005-04-06,2004.25,2017.08,1996.91,1999.14,1624152000
2005-04-07,1999.61,2018.79,1998.14,2018.79,1594271100
2005-04-08,2018.42,2021.82,1999.33,1999.35,1410196200
2005-04-11,2004.16,2006.24,1991.21,1992.12,1285715700
2005-04-12,1988.33,2007.24,1970.01,2005.4,1796639100
2005-04-13,2000.46,2001.3,1972.1,1974.37,1586068500
2005-04-14,1974.18,1975.42,1946.58,1946.71,1794955800
2005-04-15,1932.96,1940.15,1906.71,1908.15,2152596600
2005-04-18,1906.43,1921.69,1904.27,1912.92,1711534800
2005-04-19,1922.82,1933.21,1918.15,1932.36,1667331900
2005-04-20,1944.64,1945.6,1912.35,1913.76,1864603500
2005-04-21,1931.85,1962.41,1928.52,1962.41,1814885700
2005-04-22,1953.58,1953.77,1921.38,1932.19,1676538900
2005-04-25,1942.02,1954.87,1938.45,1950.78,1341450600
2005-04-26,1943.75,1958.58,1927.44,1927.44,1553137200
2005-04-27,1919.42,1937.15,1913.14,1930.43,1640715300
2005-04-28,1922.03,1927.31,1904.08,1904.18,1731046200
2005-04-29,1917.64,1921.77,1889.83,1921.65,1896781500
2005-05-02,1923.23,1933.42,1916.03,1928.65,1439407500
2005-05-03,1924.78,1944.53,1924.78,1933.07,1737370200
2005-05-04,1937.79,1963.26,1935.24,1962.23,1746372600
2005-05-05,1960.38,1969.29,1951.49,1961.8,1599488400
2005-05-06,1972.66,1973.5,1960.76,1967.35,1405341600
2005-05-09,1967.74,1979.67,1960.27,1979.67,1340139300
2005-05-10,1968.08,1971.25,1957.29,1962.77,1483833600
2005-05-11,1966.06,1972.52,1943.89,1971.55,1596028800
2005-05-12,1970.8,1982.2,1956.45,1963.88,1658589900
2005-05-13,1978.28,1990,1964.77,1976.78,1747451400
2005-05-16,1976.38,1994.47,1973.67,1994.43,1292969700
2005-05-17,1986.16,2004.15,1980.94,2004.15,1414074300
2005-05-18,2008.63,2034.3,2007.2,2030.65,1820828400
2005-05-19,2032.09,2042.68,2030.05,2042.58,1581539400
2005-05-20,2040.63,2046.42,2033.35,2046.42,1388229600
2005-05-23,2046.09,2062.95,2046.09,2056.65,1506720900
2005-05-24,2052.28,2062.52,2049.77,2061.62,1577224200
2005-05-25,2055.78,2055.78,2041.95,2050.12,1388490000
2005-05-26,2057.99,2072.54,2057.8,2071.24,1484707800
2005-05-27,2068.53,2076.8,2064.99,2075.73,1150735500
2005-05-31,2073.92,2076.01,2065.02,2068.22,1468228200
2005-06-01,2067.23,2095.54,2067.23,2087.86,1655130300
2005-06-02,2081.82,2097.8,2081.82,2097.8,1624356600
2005-06-03,2094.18,2095.99,2069.17,2071.43,1523247000
2005-06-06,2072.36,2078.61,2066.36,2075.76,1373749500
2005-06-07,2079.06,2095.96,2067.14,2067.16,1717272900
2005-06-08,2073.21,2074.61,2057.58,2060.18,1490362200
2005-06-09,2059.58,2077.47,2052.96,2076.91,1550003100
2005-06-10,2076.25,2076.25,2055.94,2063,1347923400
2005-06-13,2059.96,2078.26,2058.72,2068.96,1331880900
2005-06-14,2068.04,2074.78,2064.08,2069.04,1307440500
2005-06-15,2076.73,2079.13,2053.39,2074.92,1555583100
